;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67
21;65;65;49;67;78;68;56;49;43;42;39;65;51;53;44;67;52;69;70;53;82;47;77;24;67;68;73;23;20;19;12;13;10;10;9;30;185,42;161;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
22;75;75;70;77;63;75;77;78;69;63;68;78;79;77;81;74;77;78;58;74;62;74;39;40;78;70;85;26;27;24;7;10;8;15;10;26;180,34;161;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
23;75;75;69;79;51;73;76;82;68;62;67;76;84;85;80;70;71;75;64;79;55;71;38;39;69;68;69;25;26;23;6;9;7;14;9;32;182,88;172;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
24;74;75;74;64;61;76;63;76;76;78;75;78;73;76;80;75;72;71;68;63;68;70;70;36;71;74;71;35;42;33;11;7;6;16;7;25;180,34;161;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
25;67;67;65;61;65;68;70;70;64;63;53;71;71;77;67;69;61;69;64;61;79;69;61;25;67;50;68;29;32;31;10;6;11;6;7;38;172,72;143;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
26;68;70;65;61;65;68;70;70;64;63;53;71;72;77;67;69;61;69;64;61;81;69;61;30;67;50;68;29;37;36;10;6;11;6;7;36;185,42;165;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
27;68;68;65;62;65;68;70;70;64;63;53;71;72;76;65;69;60;69;62;60;81;69;66;30;67;50;68;29;37;36;10;6;11;6;7;23;180,34;159;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
28;59;69;49;56;47;56;64;73;52;48;53;64;71;70;73;67;63;57;66;47;43;53;36;28;52;46;58;36;32;30;7;14;14;13;14;30;182,88;170;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
29;63;72;42;52;39;64;40;72;67;45;56;67;75;78;82;62;72;48;65;62;53;52;40;23;46;64;46;32;33;40;8;13;8;15;8;33;177,8;157;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
30;61;65;42;60;54;52;0;51;0;42;35;60;74;77;0;52;0;71;0;61;71;59;30;52;57;0;66;22;27;0;7;20;35;20;20;38;190,5;181;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
